,Unnamed: 0,user_id,Phone_Build_Median,address_county_specific,address_suburb_specific,address_city_specific,address_town_specific,address_village_specific,address_city_district_specific,address_neighbourhood_specific,user_different_locations_visited,User_Max_Movement,User_Average_Movement,User_Total_Movement,total_timings,Total_Entries,time_spent_location_class_0,time_spent_location_class_1,time_spent_location_class_2,battery_location_0_timing_0,battery_location_1_timing_0,battery_location_2_timing_0,battery_location_0_timing_1,battery_location_1_timing_1,battery_location_2_timing_1,battery_location_0_timing_2,battery_location_1_timing_2,battery_location_2_timing_2,battery_location_class_0,battery_location_class_1,battery_location_class_2,entries_location_class_0,entries_location_class_1,entries_location_class_2,battery_timing_class_0,battery_timing_class_1,battery_timing_class_2,entries_timing_class_0,entries_timing_class_1,entries_timing_class_2,Associated_User_Afternoon_Count,Associated_User_Evening_Count,Associated_User_Morning_Count,Associated_User_Night_Count,Afternoon_Battery,Evening_Battery,Morning_Battery,Night_Battery,associated_devices,user_associated_brand_vivo_count,user_total_brands,user_carriers_JIO,total_user_carriers,different_os_versions,latest_os_version,different_locales,user_page_visit_app,user_page_visit_device,user_page_visit_documents,user_page_visit_files,user_page_visit_home,user_page_visit_notifications,user_page_visit_payments,user_page_visit_recharges,user_page_visit_service,user_page_visit_session,user_page_visit_shopping,user_total_page_visits,associated_device_different_locations_visited,associated_device_brand_vivo_count,associated_device_total_brands,associated_device_carriers_JIO,associated_device_total_carriers,associated_device_page_visit_app,associated_device_page_visit_device,associated_device_page_visit_documents,associated_device_page_visit_files,associated_device_page_visit_home,associated_device_page_visit_payments,associated_device_page_visit_recharges,associated_device_page_visit_session,associated_device_page_visit_shopping,associated_device_total_page_visits,associated_users,Associated_Device_Max_Movement,Associated_Device_Average_Movement,Associated_Device_Afternoon_Count,Associated_Device_Evening_Count,Associated_Device_Morning_Count,Associated_Device_Night_Count,user_associated_brand_Other_count,user_associated_brand_oneplus_count,user_associated_brand_oppo_count,user_associated_brand_poco_count,user_associated_brand_realme_count,user_associated_brand_redmi_count,user_associated_brand_samsung_count,user_associated_brand_xiaomi_count,user_carriers_AIRTEL,user_carriers_BSNL,user_carriers_Other,user_carriers_VODAFONE,user_page_visit_giftcards,user_page_visit_gold,user_page_visit_qr,user_page_visit_subscriptions,user_page_visit_virtual_cards,user_page_visit_contacts,user_page_visit_onboarding,user_page_visit_references,user_page_visit_referrer,user_page_visit_repayments,associated_device_brand_Other_count,associated_device_brand_oneplus_count,associated_device_brand_oppo_count,associated_device_brand_poco_count,associated_device_brand_realme_count,associated_device_brand_redmi_count,associated_device_brand_samsung_count,associated_device_brand_xiaomi_count,associated_device_carriers_AIRTEL,associated_device_carriers_BSNL,associated_device_carriers_Other,associated_device_carriers_VODAFONE,associated_device_page_visit_giftcards,associated_device_page_visit_gold,associated_device_page_visit_qr,associated_device_page_visit_subscriptions,associated_device_page_visit_virtual_cards,associated_device_page_visit_contacts,associated_device_page_visit_notifications,associated_device_page_visit_onboarding,associated_device_page_visit_references,associated_device_page_visit_referrer,associated_device_page_visit_repayments,associated_device_page_visit_service,Associated_Device_Total_Movement
0,0.0,956915.0,4194949.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,11.0261348168794,5.1495900129702665,231.73155058366197,68.0,323.0,0.0203666666666666,1.6273333333333333,0.0,0.1599999964237213,0.0099999997764825,0.3499999940395355,0.2899999916553497,0.0099999997764825,,0.1400000005960464,0.6399999856948853,,0.1599999964237213,0.6399999856948853,0.3499999940395355,241.0,81.0,1.0,0.1599999964237213,0.2899999916553497,0.3799999952316284,140.0,66.0,117.0,122.0,47.0,20.0,134.0,0.3799999952316284,0.1400000005960464,0.4300000071525574,0.1599999964237213,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,37.0,14.0,36.0,7.0,4.0,12.0,100.0,55.0,39.0,1.0,18.0,323.0,3230.0,323.0,323.0,323.0,323.0,11951.0,4522.0,11628.0,2261.0,1292.0,32300.0,17765.0,323.0,5814.0,104329.0,323.0,11.0261348168794,5.1495900129702665,39406.0,15181.0,6460.0,43282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7.0,956877.0,4194949.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.241627812968618,0.1235135095602306,14.82162114722767,125.0,630.0,0.0339083333333333,1.156,0.0024,0.5099999904632568,0.2399999946355819,0.8600000143051147,,0.7300000190734863,0.4249999970197677,0.1599999964237213,0.3199999928474426,0.209999993443489,0.1599999964237213,0.6800000071525574,0.3799999952316284,5.0,246.0,379.0,0.8600000143051147,0.6800000071525574,0.2199999988079071,125.0,330.0,175.0,94.0,16.0,288.0,232.0,0.3100000023841858,0.1700000017881393,0.4600000083446502,0.8100000023841858,1.0,0.0,1.0,1.0,1.0,1.0,11.0,2.0,52.0,52.0,71.0,11.0,2.0,5.0,195.0,45.0,41.0,1.0,97.0,630.0,28350.0,0.0,630.0,630.0,630.0,88200.0,88830.0,192780.0,6930.0,3780.0,286020.0,43470.0,5670.0,146790.0,1023750.0,6930.0,0.3012806001056178,0.114188095887692,262080.0,10080.0,417690.0,333900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,14.0,956848.0,4194949.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.128312946913596,0.8132735253382444,124.4308493767514,121.0,663.0,6.994466666666666,0.2396666666666666,1.3924666666666667,0.2800000011920929,0.8100000023841858,0.6100000143051147,,0.6800000071525574,0.6299999952316284,0.449999988079071,0.449999988079071,0.7400000095367432,0.449999988079071,0.6800000071525574,0.6299999952316284,43.0,488.0,132.0,0.8100000023841858,0.6700000166893005,0.4600000083446502,150.0,278.0,235.0,186.0,49.0,278.0,150.0,0.4699999988079071,0.4600000083446502,0.6700000166893005,0.8100000023841858,1.0,1.0,1.0,1.0,2.0,1.0,12.0,2.0,68.0,58.0,131.0,27.0,1.0,15.0,129.0,25.0,46.0,10.0,115.0,663.0,19890.0,663.0,663.0,663.0,1326.0,77571.0,70941.0,131274.0,31824.0,3315.0,127959.0,22542.0,12597.0,145197.0,725322.0,1989.0,2.128312946913596,0.76804722167583,221442.0,49062.0,252603.0,202215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,0.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,21.0,956828.0,4194949.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0094339811320643,0.005673694427967,0.0567369442796708,146.0,1437.0,0.7458916666666666,0.1639166666666666,0.1033833333333333,0.8100000023841858,0.8299999833106995,0.550000011920929,0.4099999964237213,0.3000000119209289,,,0.1700000017881393,,0.6800000071525574,0.2800000011920929,0.550000011920929,74.0,1360.0,3.0,0.8299999833106995,0.3000000119209289,0.1700000017881393,482.0,421.0,534.0,800.0,1.0,550.0,86.0,0.1700000017881393,0.2199999988079071,0.8299999833106995,0.8100000023841858,1.0,0.0,1.0,1.0,1.0,1.0,10.0,1.0,312.0,35.0,55.0,22.0,34.0,119.0,591.0,52.0,64.0,2.0,86.0,1437.0,7185.0,0.0,1437.0,1437.0,1437.0,464151.0,66102.0,168129.0,38799.0,48858.0,850704.0,74724.0,8622.0,133641.0,2211543.0,4311.0,0.0094339811320643,0.005673694427967,1189836.0,1437.0,790350.0,229920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,28.0,956797.0,4194949.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,0.0506063237155307,0.0149989444072623,13.544046799757872,220.0,1987.0,0.2903,0.0564666666666666,0.0628916666666666,0.8899999856948853,,0.9399999976158142,0.7599999904632568,0.8600000143051147,0.7599999904632568,0.7099999785423279,0.3499999940395355,0.6299999952316284,0.8700000047683716,0.8600000143051147,0.675000011920929,1220.0,11.0,756.0,0.8999999761581421,0.7599999904632568,0.6600000262260437,589.0,716.0,682.0,542.0,15.0,836.0,594.0,0.6600000262260437,0.5299999713897705,0.7599999904632568,0.8999999761581421,3.0,1.0,2.0,1.0,2.0,1.0,13.0,1.0,170.0,170.0,47.0,78.0,1.0,18.0,699.0,234.0,110.0,0.0,254.0,1987.0,69843.0,62.0,1987.0,1925.0,2896.0,522006.0,327966.0,200810.0,120911.0,4205.0,2268157.0,222286.0,0.0,551323.0,5339932.0,7270.0,0.0506063237155307,0.0155506795401512,976811.0,16170.0,2518864.0,1828087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,0.0,0.0,62.0,14399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,35.0,956793.0,4194949.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0502493781056025,0.0126202871309512,22.33790822178376,478.0,5458.0,1.0100833333333332,1.0241333333333331,0.2125916666666666,0.9800000190734864,0.9900000095367432,,0.7099999785423279,0.8500000238418579,,0.4199999868869781,0.5699999928474426,0.5400000214576721,0.6100000143051147,0.7699999809265137,0.5400000214576721,4704.0,737.0,17.0,0.9800000190734864,0.75,0.4300000071525574,1031.0,1817.0,2610.0,2468.0,125.0,1620.0,1245.0,0.4300000071525574,0.5400000214576721,0.7400000095367432,0.9700000286102296,4.0,0.0,1.0,1.0,3.0,2.0,12.0,2.0,424.0,321.0,85.0,95.0,1.0,135.0,2479.0,101.0,313.0,1.0,568.0,5458.0,140869.0,0.0,5458.0,5155.0,5761.0,1381055.0,813105.0,526429.0,223478.0,8499.0,6434765.0,246207.0,4805.0,1465000.0,14459325.0,12698.0,0.0483735464897896,0.0134578065288402,6231563.0,532488.0,4459430.0,3235844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,303.0,59547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,42.0,956785.0,4194949.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0210950231097291,0.0170945623425976,0.1025673740555856,104.0,652.0,1.4782166666666667,0.170975,0.0034166666666666,0.699999988079071,,0.8199999928474426,0.1400000005960464,0.4699999988079071,,0.4399999976158142,0.8799999952316284,0.4300000071525574,0.2599999904632568,0.6650000065565109,0.625,630.0,18.0,4.0,0.699999988079071,0.1400000005960464,0.5099999904632568,138.0,402.0,112.0,75.0,49.0,373.0,155.0,0.4000000059604645,0.4399999976158142,0.1299999952316284,0.6899999976158142,1.0,1.0,1.0,0.0,2.0,1.0,12.0,1.0,56.0,56.0,40.0,38.0,1.0,1.0,205.0,74.0,50.0,4.0,80.0,652.0,2608.0,652.0,652.0,0.0,1304.0,48900.0,48900.0,56724.0,24776.0,652.0,137572.0,48248.0,4564.0,65200.0,502040.0,1956.0,0.0210950231097291,0.0170945623425976,104320.0,33904.0,260800.0,103016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,652.0,13040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
